5 , 04/05/2012 09:47:27:306 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000112
5 , 04/05/2012 09:47:27:308 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 13 app ref no 040512000377
5 , 04/05/2012 09:47:27:309 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000377and 030512000363
5 , 04/05/2012 09:47:27:311 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000377
5 , 04/05/2012 09:47:27:312 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 14 app ref no 040512000382
5 , 04/05/2012 09:47:27:314 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000382and 030512000363
5 , 04/05/2012 09:47:27:315 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000382
5 , 04/05/2012 09:47:27:317 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 15 app ref no 040512000387
5 , 04/05/2012 09:47:27:318 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000387and 030512000363
5 , 04/05/2012 09:47:27:320 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000387
5 , 04/05/2012 09:47:27:321 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 16 app ref no 0806060023
5 , 04/05/2012 09:47:27:323 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :0806060023and 030512000363
5 , 04/05/2012 09:47:27:324 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching0806060023
5 , 04/05/2012 09:47:27:326 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 17 app ref no 2707060079
5 , 04/05/2012 09:47:27:327 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :2707060079and 030512000363
5 , 04/05/2012 09:47:27:329 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching2707060079
5 , 04/05/2012 09:47:27:331 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 09:47:27:332 , ApplicationProcessor , checkDuplicateApplications , pending 10 app ref no 040512000002
5 , 04/05/2012 09:47:27:333 , ApplicationProcessor , checkDuplicateApplications , approved 0 app ref no 3007070007
5 , 04/05/2012 09:47:27:335 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:336 , ApplicationProcessor , checkDuplicateApplications , approved 1 app ref no 3005070070
5 , 04/05/2012 09:47:27:338 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:339 , ApplicationProcessor , checkDuplicateApplications , approved 2 app ref no 2610040011
5 , 04/05/2012 09:47:27:341 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:342 , ApplicationProcessor , checkDuplicateApplications , approved 3 app ref no 2706060242
5 , 04/05/2012 09:47:27:344 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:345 , ApplicationProcessor , checkDuplicateApplications , approved 4 app ref no 2901070028
5 , 04/05/2012 09:47:27:347 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:348 , ApplicationProcessor , checkDuplicateApplications , approved 5 app ref no 2610070046
5 , 04/05/2012 09:47:27:350 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:351 , ApplicationProcessor , checkDuplicateApplications , approved 6 app ref no 3103050210
5 , 04/05/2012 09:47:27:352 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:354 , ApplicationProcessor , checkDuplicateApplications , approved 7 app ref no 0307060013
5 , 04/05/2012 09:47:27:355 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:357 , ApplicationProcessor , checkDuplicateApplications , approved 8 app ref no 1609050030
5 , 04/05/2012 09:47:27:362 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:364 , ApplicationProcessor , checkDuplicateApplications , approved 9 app ref no 1009030012
5 , 04/05/2012 09:47:27:366 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
