5 , 16/04/2012 06:24:06:595 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:597 , ApplicationProcessor , checkDuplicateApplications , approved 367 app ref no 071011000361
5 , 16/04/2012 06:24:06:598 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:600 , ApplicationProcessor , checkDuplicateApplications , approved 368 app ref no 171011000234
5 , 16/04/2012 06:24:06:602 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :PREM
5 , 16/04/2012 06:24:06:603 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :JAGDISH
5 , 16/04/2012 06:24:06:605 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :null
5 , 16/04/2012 06:24:06:607 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :null for app ref noCG20110178164TC
5 , 16/04/2012 06:24:06:609 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan090412000254
5 , 16/04/2012 06:24:06:611 , ApplicationProcessor , checkDuplicateApplications , Approved Address :VILL DITTAN PO BIDHARWAL TEHSIL HAROLI DISTT UNA H.P
5 , 16/04/2012 06:24:06:613 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O CHARAN DASS VILLAGE CHATARA PO CHATARA DISTT UNA
5 , 16/04/2012 06:24:06:615 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:616 , ApplicationProcessor , checkDuplicateApplications , approved 369 app ref no 181011000139
5 , 16/04/2012 06:24:06:618 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:619 , ApplicationProcessor , checkDuplicateApplications , approved 370 app ref no 191011000465
5 , 16/04/2012 06:24:06:621 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:623 , ApplicationProcessor , checkDuplicateApplications , approved 371 app ref no 191011000472
5 , 16/04/2012 06:24:06:624 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:626 , ApplicationProcessor , checkDuplicateApplications , approved 372 app ref no 191011000487
