5 , 04/05/2012 10:03:58:357 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000007
5 , 04/05/2012 10:03:58:359 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 12 app ref no 040512000112
5 , 04/05/2012 10:03:58:361 , ApplicationProcessor , checkDuplicateApplications , state and district are same for :040512000112and 020512000451
5 , 04/05/2012 10:03:58:363 , ApplicationProcessor , checkDuplicateApplications , Rem Pending First Name :RAMESH
5 , 04/05/2012 10:03:58:364 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :SURESH
5 , 04/05/2012 10:03:58:366 , ApplicationProcessor , checkDuplicateApplications , Rem Pending Middle Name :CHANDRA
5 , 04/05/2012 10:03:58:367 , ApplicationProcessor , checkDuplicateApplications , Rem Pending  Address :83/18 MB M MARKET JUHI
KANPUR
5 , 04/05/2012 10:03:58:369 , ApplicationProcessor , checkDuplicateApplications , Pending Address :I-521 BARRA VISHWA BANK COLONY KANPUR
5 , 04/05/2012 10:03:58:371 , ApplicationProcessor , checkDuplicateApplications , Approved itpan :AAMPY0131A
5 , 04/05/2012 10:03:58:372 , ApplicationProcessor , checkDuplicateApplications , remaining Pending itpan :AIYPG1945L
5 , 04/05/2012 10:03:58:374 , ApplicationProcessor , checkDuplicateApplications , valid format are same for :040512000112and 020512000451
5 , 04/05/2012 10:03:58:375 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000112and 020512000451
5 , 04/05/2012 10:03:58:377 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000112
5 , 04/05/2012 10:03:58:378 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 13 app ref no 040512000377
5 , 04/05/2012 10:03:58:380 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000377and 020512000451
5 , 04/05/2012 10:03:58:381 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000377
5 , 04/05/2012 10:03:58:383 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 14 app ref no 040512000382
5 , 04/05/2012 10:03:58:384 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000382and 020512000451
5 , 04/05/2012 10:03:58:386 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000382
5 , 04/05/2012 10:03:58:387 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 15 app ref no 040512000387
5 , 04/05/2012 10:03:58:389 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000387and 020512000451
5 , 04/05/2012 10:03:58:390 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000387
5 , 04/05/2012 10:03:58:392 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 16 app ref no 0806060023
5 , 04/05/2012 10:03:58:393 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :0806060023and 020512000451
5 , 04/05/2012 10:03:58:397 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching0806060023
5 , 04/05/2012 10:03:58:398 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 17 app ref no 2707060079
5 , 04/05/2012 10:03:58:405 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :2707060079and 020512000451
5 , 04/05/2012 10:03:58:407 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching2707060079
5 , 04/05/2012 10:03:58:409 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 10:03:58:411 , ApplicationProcessor , checkDuplicateApplications , pending 7 app ref no 030512000325
5 , 04/05/2012 10:03:58:412 , ApplicationProcessor , checkDuplicateApplications , approved 0 app ref no 3007070007
5 , 04/05/2012 10:03:58:414 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:415 , ApplicationProcessor , checkDuplicateApplications , approved 1 app ref no 3005070070
5 , 04/05/2012 10:03:58:417 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:418 , ApplicationProcessor , checkDuplicateApplications , approved 2 app ref no 2610040011
5 , 04/05/2012 10:03:58:420 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:421 , ApplicationProcessor , checkDuplicateApplications , approved 3 app ref no 2706060242
5 , 04/05/2012 10:03:58:423 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:424 , ApplicationProcessor , checkDuplicateApplications , approved 4 app ref no 2901070028
5 , 04/05/2012 10:03:58:426 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:427 , ApplicationProcessor , checkDuplicateApplications , approved 5 app ref no 2610070046
5 , 04/05/2012 10:03:58:428 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:430 , ApplicationProcessor , checkDuplicateApplications , approved 6 app ref no 3103050210
5 , 04/05/2012 10:03:58:431 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:436 , ApplicationProcessor , checkDuplicateApplications , approved 7 app ref no 0307060013
5 , 04/05/2012 10:03:58:438 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:439 , ApplicationProcessor , checkDuplicateApplications , approved 8 app ref no 1609050030
5 , 04/05/2012 10:03:58:441 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:442 , ApplicationProcessor , checkDuplicateApplications , approved 9 app ref no 1009030012
5 , 04/05/2012 10:03:58:444 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:445 , ApplicationProcessor , checkDuplicateApplications , approved 10 app ref no 2407060021
5 , 04/05/2012 10:03:58:447 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:448 , ApplicationProcessor , checkDuplicateApplications , approved 11 app ref no 2806070087
5 , 04/05/2012 10:03:58:450 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:451 , ApplicationProcessor , checkDuplicateApplications , approved 12 app ref no 2709060098
5 , 04/05/2012 10:03:58:453 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:455 , ApplicationProcessor , checkDuplicateApplications , approved 13 app ref no 1009030002
5 , 04/05/2012 10:03:58:456 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:458 , ApplicationProcessor , checkDuplicateApplications , approved 14 app ref no 1503050026
5 , 04/05/2012 10:03:58:459 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:461 , ApplicationProcessor , checkDuplicateApplications , approved 15 app ref no 3009050062
5 , 04/05/2012 10:03:58:462 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:464 , ApplicationProcessor , checkDuplicateApplications , approved 16 app ref no 0209060026
5 , 04/05/2012 10:03:58:465 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:467 , ApplicationProcessor , checkDuplicateApplications , approved 17 app ref no 2812060448
5 , 04/05/2012 10:03:58:468 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:470 , ApplicationProcessor , checkDuplicateApplications , approved 18 app ref no 3108040011
5 , 04/05/2012 10:03:58:471 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:473 , ApplicationProcessor , checkDuplicateApplications , approved 19 app ref no 1805070007
5 , 04/05/2012 10:03:58:474 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
